subj item timing focus dist resp
B4 52 spr unf dist 100
B4 49 spr foc close 100
B4 26 spr foc dist 100
B4 45 spr foc close 100
B4 42 spr foc dist 100
B4 51 spr unf close 0
B4 41 spr foc close 100
B4 48 spr unf dist 100
B4 44 spr unf dist 100
B4 25 spr foc close 100
B4 32 spr unf dist 100
B4 46 spr foc dist 100
B4 35 spr unf close 100
B4 40 spr unf dist 100
B4 30 spr foc dist 100
B4 27 spr unf close 100
B4 43 spr unf close 100
B4 47 spr unf close 100
B4 50 spr foc dist 100
B4 39 spr unf close 100
B4 28 spr unf dist 100
B4 37 spr foc close 100
B4 38 spr foc dist 100
B4 36 spr unf dist 100
B4 31 spr unf close 100
B4 34 spr foc dist 100
B4 29 spr foc close 100
B4 33 spr foc close 100
B5 25 spr foc close 100
B5 52 spr unf dist 100
B5 35 spr unf close 100
B5 47 spr unf close 100
B5 30 spr foc dist 100
B5 50 spr foc dist 100
B5 38 spr foc dist 100
B5 39 spr unf close 100
B5 42 spr foc dist 100
B5 40 spr unf dist 100
B5 28 spr unf dist 100
B5 51 spr unf close 100
B5 45 spr foc close 0
B5 41 spr foc close 100
B5 31 spr unf close 0
B5 26 spr foc dist 100
B5 37 spr foc close 100
B5 29 spr foc close 100
B5 27 spr unf close 100
B5 36 spr unf dist 100
B5 32 spr unf dist 100
B5 33 spr foc close 100
B5 43 spr unf close 100
B5 48 spr unf dist 100
B5 34 spr foc dist 100
B5 44 spr unf dist 100
B5 49 spr foc close 100
B5 46 spr foc dist 100
B6 38 spr unf close 100
B6 41 spr foc dist 100
B6 28 spr foc close 100
B6 33 spr foc dist 100
B6 52 spr foc close 100
B6 42 spr unf close 0
B6 29 spr foc dist 100
B6 47 spr unf dist 100
B6 35 spr unf dist 100
B6 30 spr unf close 100
B6 25 spr foc dist 100
B6 27 spr unf dist 100
B6 34 spr unf close 100
B6 37 spr foc dist 100
B6 26 spr unf close 100
B6 46 spr unf close 100
B6 51 spr unf dist 100
B6 50 spr unf close 100
B6 32 spr foc close 100
B6 45 spr foc dist 100
B6 39 spr unf dist 100
B6 44 spr foc close 100
B6 43 spr unf dist 100
B6 48 spr foc close 100
B6 40 spr foc close 100
B6 49 spr foc dist 100
B6 36 spr foc close 100
B6 31 spr unf dist 100
B7 29 spr foc dist 100
B7 31 spr unf dist 100
B7 47 spr unf dist 100
B7 44 spr foc close 100
B7 51 spr unf dist 100
B7 32 spr foc close 100
B7 45 spr foc dist 0
B7 30 spr unf close 100
B7 42 spr unf close 100
B7 43 spr unf dist 100
B7 27 spr unf dist 100
B7 26 spr unf close 0
B7 36 spr foc close 100
B7 34 spr unf close 0
B7 38 spr unf close 100
B7 49 spr foc dist 100
B7 25 spr foc dist 100
B7 37 spr foc dist 100
B7 52 spr foc close 100
B7 46 spr unf close 0
B7 28 spr foc close 100
B7 35 spr unf dist 100
B7 41 spr foc dist 0
B7 40 spr foc close 100
B7 48 spr foc close 100
B7 39 spr unf dist 100
B7 33 spr foc dist 0
B7 50 spr unf close 100
B8 52 spr foc close 100
B8 45 spr foc dist 100
B8 50 spr unf close 100
B8 34 spr unf close 100
B8 30 spr unf close 0
B8 27 spr unf dist 100
B8 49 spr foc dist 100
B8 44 spr foc close 100
B8 41 spr foc dist 100
B8 25 spr foc dist 100
B8 35 spr unf dist 100
B8 28 spr foc close 100
B8 40 spr foc close 100
B8 42 spr unf close 100
B8 47 spr unf dist 100
B8 37 spr foc dist 100
B8 29 spr foc dist 100
B8 51 spr unf dist 100
B8 32 spr foc close 100
B8 43 spr unf dist 100
B8 38 spr unf close 100
B8 48 spr foc close 100
B8 31 spr unf dist 100
B8 26 spr unf close 100
B8 33 spr foc dist 100
B8 46 spr unf close 0
B8 36 spr foc close 100
B8 39 spr unf dist 100
B9 35 spr unf dist 100
B9 52 spr foc close 100
B9 50 spr unf close 100
B9 37 spr foc dist 0
B9 27 spr unf dist 100
B9 32 spr foc close 0
B9 25 spr foc dist 100
B9 49 spr foc dist 100
B9 31 spr unf dist 100
B9 29 spr foc dist 100
B9 33 spr foc dist 100
B9 40 spr foc close 100
B9 28 spr foc close 100
B9 44 spr foc close 100
B9 45 spr foc dist 100
B9 48 spr foc close 100
B9 30 spr unf close 0
B9 43 spr unf dist 100
B9 47 spr unf dist 100
B9 46 spr unf close 0
B9 39 spr unf dist 100
B9 41 spr foc dist 100
B9 38 spr unf close 100
B9 36 spr foc close 100
B9 34 spr unf close 100
B9 42 spr unf close 100
B9 26 spr unf close 100
B9 51 spr unf dist 100
B10 47 spr unf dist 100
B10 35 spr unf dist 100
B10 49 spr foc dist 100
B10 34 spr unf close 100
B10 38 spr unf close 100
B10 40 spr foc close 100
B10 29 spr foc dist 100
B10 41 spr foc dist 100
B10 46 spr unf close 100
B10 26 spr unf close 0
B10 42 spr unf close 100
B10 52 spr foc close 100
B10 28 spr foc close 100
B10 33 spr foc dist 100
B10 25 spr foc dist 100
B10 48 spr foc close 100
B10 36 spr foc close 100
B10 27 spr unf dist 100
B10 31 spr unf dist 100
B10 37 spr foc dist 100
B10 51 spr unf dist 100
B10 32 spr foc close 0
B10 30 spr unf close 100
B10 44 spr foc close 100
B10 43 spr unf dist 0
B10 39 spr unf dist 100
B10 45 spr foc dist 100
B10 50 spr unf close 100
B11 31 spr foc close 100
B11 48 spr foc dist 0
B11 36 spr foc dist 100
B11 26 spr unf dist 100
B11 51 spr foc close 100
B11 43 spr foc close 100
B11 44 spr foc dist 100
B11 39 spr foc close 100
B11 28 spr foc dist 100
B11 41 spr unf close 0
B11 25 spr unf close 100
B11 46 spr unf dist 0
B11 30 spr unf dist 100
B11 45 spr unf close 100
B11 27 spr foc close 100
B11 47 spr foc close 100
B11 52 spr foc dist 100
B11 49 spr unf close 100
B11 38 spr unf dist 100
B11 34 spr unf dist 100
B11 42 spr unf dist 100
B11 40 spr foc dist 100
B11 33 spr unf close 100
B11 50 spr unf dist 100
B11 32 spr foc dist 100
B11 37 spr unf close 100
B11 35 spr foc close 100
B11 29 spr unf close 100
B12 29 spr unf close 100
B12 44 spr foc dist 100
B12 26 spr unf dist 100
B12 31 spr foc close 100
B12 51 spr foc close 100
B12 45 spr unf close 0
B12 41 spr unf close 100
B12 30 spr unf dist 100
B12 42 spr unf dist 100
B12 43 spr foc close 100
B12 46 spr unf dist 100
B12 50 spr unf dist 100
B12 47 spr foc close 100
B12 36 spr foc dist 100
B12 35 spr foc close 100
B12 48 spr foc dist 100
B12 49 spr unf close 0
B12 34 spr unf dist 100
B12 40 spr foc dist 100
B12 27 spr foc close 100
B12 52 spr foc dist 100
B12 38 spr unf dist 100
